数据名,低矮植被->背景混淆,低矮植被->高植被混淆,背景->低矮植被混淆,高植被->低矮植被混淆,背景类_Recall,背景类_Precision,背景类_IoU,建筑类_Recall,建筑类_Precision,建筑类_IoU,车辆类_Recall,车辆类_Precision,车辆类_IoU,高植被类_Recall,高植被类_Precision,高植被类_IoU,低植被类_Recall,低植被类_Precision,低植被类_IoU,平均_Recall,平均_Precision,平均_IoU
01JXY12,0.09902195342943587,0.008760531442336881,0.02562071822997527,0.038167703780795786,0.9373936478671959,0.8559692549470369,0.8096812319789896,0.9807905016724213,0.9858942119702162,0.9672177610227344,0.8836109420786625,0.9302523304028956,0.8287084820813789,0.8754437101992711,0.9921729400119542,0.8694391843292191,0.8828510958082025,0.7098136016014023,0.6487127168585237,0.9120179795251507,0.8948204677867011,0.824751875254169
01JXY3,0.09713080236144044,0.0065862216243605205,0.020425876343745496,0.033081982842762196,0.9553805868529421,0.8131347414638878,0.7833848670717878,0.9744706415236941,0.9777324868639081,0.9533135389369318,0.8787195447504587,0.9327023259741544,0.8263281649555262,0.8351482503247136,0.9954264274537387,0.8319559018818973,0.8895849882044983,0.715940376182483,0.6575123212659435,0.9066608023312612,0.8869872715876344,0.8104989588224173
02YTXC,0.15792833607896903,0.1391817682591027,0.021003198658715173,0.05385285792761723,0.9029513831973354,0.8410513332510869,0.7713267570726701,0.9914633500192132,0.9785175984691283,0.9703422851122121,0.8944501547944,0.9416933424910631,0.8475135737233425,0.7715284971170587,0.9503478547302786,0.7416336182132092,0.7001098297633854,0.6608438731075958,0.5150486809677034,0.8521006429782785,0.8744908004098306,0.7691729830178274
04HXKJC,0.13489239399951805,0.005857348972897461,0.016515828289471967,0.17411581244339075,0.9738041344510044,0.8900176633728059,0.8692071378031215,0.9940050117130921,0.9928339322310437,0.9869243031904436,0.8876253652338008,0.47759671970834816,0.450365621555744,0.6005174095881869,0.9759073834886837,0.5917446683358046,0.8559891026065374,0.8552698895925585,0.7476854996211487,0.8623882047185243,0.838325117678688,0.7291854461012525
05YLZY1,0.20379438183981355,0.00624688651987613,0.020523131247595732,0.0583894684039914,0.9625554847555697,0.855741013095821,0.8281717475022917,0.9854324147563787,0.9754734278528763,0.9616067108194338,0.8380923267054255,0.8905295996691169,0.7598130245530123,0.8390593384939421,0.9954340022187373,0.8358424181482783,0.785482661520753,0.7011854636180536,0.588491882959968,0.8821244452464138,0.8836727012909211,0.7947851567965969
05YLZY2,0.268682106751697,0.008413517747116152,0.04923651859549718,0.04956778609637887,0.9139833132056795,0.8335221058190975,0.7728930289238183,0.9786115696722366,0.9456267465186182,0.9264787310905964,0.740426098472908,0.8382781117194188,0.6478802136238101,0.8827421013876046,0.9924863980898601,0.8768820873469385,0.7174392358243072,0.616268544944195,0.4959049440493946,0.8466404637125471,0.845236381418238,0.7440078010069116
06XCNC,0.3075812675234412,0.013738444882432407,0.07886803645579835,0.0353802367444969,0.8698754246884837,0.5844899152258991,0.5374947170005927,0.9468919925563338,0.8535464414756968,0.8145517575338058,0.9000046531064166,0.8599884398165488,0.7849837662305804,0.7229905146522126,0.9922697485154238,0.7189411228727627,0.6482330733140915,0.49913324512586665,0.3927532234245514,0.8175991316635077,0.7578855580318871,0.6497449174124585
07DJXZ1,0.15583251060304726,0.06811066615885202,0.05414115143633839,0.05925377924659097,0.9125933916538328,0.8129205316040524,0.7541985459971996,0.9632112109424066,0.885515886215834,0.8565463727633934,0.7466106549503748,0.6065463570990922,0.5030017152637093,0.8998404392169543,0.9496052010195721,0.8588281140505141,0.749212089389776,0.831862851762565,0.6506787214068162,0.8542935572306689,0.8172901655402232,0.7246506938963264
07DJXZ2,0.18003112726701595,0.07229940651390396,0.07835948116870273,0.07821285177511274,0.8781519971849859,0.7794666957456882,0.7033914489477207,0.9567427176365976,0.9164472975139674,0.8799847742668734,0.0,0.0,0.0,0.8681436283944506,0.9544092205961411,0.833575267069388,0.7151002900576117,0.7379919701768077,0.5703096097340121,0.6836277266547292,0.6776630368065208,0.5974522200035988
09Henan8,0.8855981416442742,0.0,0.0,0.0,0.9970123204782454,0.9932953386701783,0.9903475285548314,0.9864216207032139,0.9922454355179328,0.9788754207565592,0.9024260609805818,0.9588325279494475,0.868765180219004,0.8680243970805243,0.9999999999959617,0.8680243970805243,0.11440185829765377,0.9999999994923858,0.11440185829765377,0.7736572515080438,0.9888746603251812,0.7640828769817145
